ARRAIGN_FELONY_SORT,QUARTER,Average No. of Days,Median No. of Days,count
0,2017 Q1,179,96,5879
0,2017 Q2,172,82,6531
0,2017 Q3,155,86,6060
0,2017 Q4,168,99,5413
0,2018 Q1,170,107,5494
0,2018 Q2,194,110,6002
0,2018 Q3,193,122,5967
0,2018 Q4,203,121,5523
0,2019 Q1,207,135,5544
0,2019 Q2,220,140,5371
0,2019 Q3,237,156,5078
0,2019 Q4,260,169,4765
0,2020 Q1,259,168,3953
0,2020 Q2,449,255,753
0,2020 Q3,347,248,2810
0,2020 Q4,414,304,3180
0,2021 Q1,387,306,2507
0,2021 Q2,458,350,2726
0,2021 Q3,538,428,3149
0,2021 Q4,508,389,2990
0,2022 Q1,406,299,2481
0,2022 Q2,408,280,2370
0,2022 Q3,418,279,2774
0,2022 Q4,426,263,3032
0,2023 Q1,399,265,2888
0,2023 Q2,405,272,3225
0,2023 Q3,381,243,2931
0,2023 Q4,400,250,2550
0,2024 Q1,417,243,2757
0,2024 Q2,396,239,2812
0,2024 Q3,365,220,2500
0,2024 Q4,370,237,2487
